"number","remaining","brewer","name","colour","brewer_location","alcohol_by_volume","ibu","specific_style","specific_style_colour","general_style","general_style_colour","description","price","is_currently_available"
58,82,"Brew Hall Beer Co.","Kol Story Bro Kolsch","#E8C252","Vancouver, British Columbia","5.0",24,"Kolsch","#F1D744","Lagers and Pilsners","#F1D744","This ale is cool fermented to create a smooth and refreshing beer with a crisp body and clean finish.","8.75",true
57,68,"La Cerveceria Astilleros","Salted Lime Lager","#F0C030","North Vancouver, British Columbia","4.6",10,"Lager","#F1D744","Lagers and Pilsners","#F1D744","A light, latin american cerveza type beer with a modern twist. This is a crisp, clean lager made with Mexican limes and world-renowned salt sourced from El Valle Salado.","8.75",true
28,25,"Parallel 49 Brewing Company","Bohemian Rhapsody","#b45c05","East Vancouver, British Columbia","4.8",22,"Lager","#F1D744","Lagers and Pilsners","#F1D744","An authentic, refreshing, easy-drinking Czech amber lager. Light spicy and herbal Czech Saaz hop notes is upfront. Rich toasty, bready malt from Czech floor-malted pilsner malt with a slight hint of caramelized sugar. Firm bitterness leads to clean crisp refreshing finish.","8.75",true
14,40,"Parallel 49 Brewing Company","Cannonball","#f99836","East Vancouver, British Columbia","4.6",10,"Wheat Ale","#F0D830","Wheat Beers","#F0D830","A vibrant and refreshing wheat ale with tropical fruits character. Flavour of tangerine and mango balanced by grainy wheat. Light-bodied. Light haze. Easy drinking.","8.75",true
17,42,"Parallel 49 Brewing Company","Cloud Nine","#a76f06","East Vancouver, British Columbia","6.9",10,"India Pale Lager","#F1D744","Lagers and Pilsners","#F1D744","A strong pale lager that balances between rich flavour and lager drinkability. Robust grainy pilsner malt flavour with light doughy notes. Herbal hop aroma with light citrus and white grape.","8.25",true
19,87,"Parallel 49 Brewing Company","Craft Lager","#F09000","East Vancouver, British Columbia","5.0",5,"Lager","#F1D744","Lagers and Pilsners","#F1D744","A light, clean lager with a hint of malt and subtle hop flavour. An iconic East Van beer. Clean, crisp and refreshing. A pale lager brewed with all malted barley and local Sterling hops grown at Sartori Cedar Ranch in Chilliwack, BC. Fermented cool using a traditional German lager yeast.","8.25",true
21,18,"Parallel 49 Brewing Company","Craft Lager Lite","#F09000","East Vancouver, British Columbia","4.0",0,"Lager","#F1D744","Lagers and Pilsners","#F1D744","A “light” version of P49’s Craft Lager…Clean, light-bodied, very refreshing and thirst-quenching pale lager. Low on both malt and hop flavour but not as flavourless as the ""light"" beers from macro breweries","8.25",true
20,91,"Parallel 49 Brewing Company","Craft Pilsner","#FAC937","East Vancouver, British Columbia","5.0",33,"Pilsner","#FAC937","Lagers and Pilsners","#F1D744","Inspired by the traditional Czech Pilsner style,this beer is crisp and refreshing with a rich and complex bready maltiness complimented by the slightly spicy and floral hop character.","8.25",true
6,28,"Parallel 49 Brewing Company","Dad's Day Off","#fcdc9f","East Vancouver, British Columbia","4.7",13,"Cream Ale","#A83000","Brown, Amber and Cream Ales","#A84800","A cream ale, a beer that has the refreshing crispness of a lager and the satisfying subtle complexity of an ale. A gentle, soft grainy malt sweetness, a touch of corn, complemented with a delicate floral hop note. Crystal clear with straw colour.","8.75",true
23,12,"Parallel 49 Brewing Company","Filthy Dirty West Coast IPA","#F0A830","East Vancouver, British Columbia","7.2",66,"India Pale Ale","#F09000","Pale Ales and IPAs","#CC8F00"," A west coast IPA with a ton of hop flavour and aroma.
 Subtle sweet malt flavour backs up the huge amount of orange,
 grapefruit, pine and floral aromas this beer expels.","8.25",true
56,84,"Parallel 49 Brewing Company","Ginja Turtles Sour","#e9b567","East Vancouver, British Columbia","4.8",7,"Sour Ale","#903018","Lambics and Sours","#FF0000","An easy-drinking sour ale. The refreshing aroma of lime and ginger along with the light tingling ginger spiciness. Moderately high clean sourness. Tastes like ginger limeade.","8.75",true
18,73,"Parallel 49 Brewing Company","Golden Faucet","#a76f06","East Vancouver, British Columbia","4.2",30,"India Pale Ale","#F09000","Pale Ales and IPAs","#CC8F00","A best bitter (English pale ale) brewed to showcase our favorite English malt, Golden Promise from Thomas Fawcett & Sons. Crackery and grainy, light yet rich flavourful malt from the Golden Promise. Delicate candy-like mouthfeel from invert sugar from UK.  Firm bitterness. A hint of apricot and dark dried fruits from an ale yeast strain from West Yorkshire.","8.25",true
13,43,"Parallel 49 Brewing Company","Just Chillin'","#d29626","East Vancouver, British Columbia","4.8",23,"Seasonal","#F06000","Seasonal Taps","#F06000","A characterful yet easy-drinking rustic table saison. Fragrant fruity aroma of apricot, pear, bergamot, and light peppery spice notes from an authentic Belgian yeast. Very high carbonation makes it light and refreshing.","8.75",true
49,36,"Parallel 49 Brewing Company","Limitless GF Lager","#ecaa3c","East Vancouver, British Columbia","5.0",18,"Cider","#F0F0C0","Ciders And Gluten Free","#F0F0C0","A gluten-free lager brewed without using gluten-containing ingredients. Delicate herbal and spicy German Perle hop character.","8.75",true
5,82,"Parallel 49 Brewing Company","N2 Craft Stout","#000000","East Vancouver, British Columbia","4.6",28,"Stout","#001818","Stouts and Porters","#001818","A dry Caribbean style stout with rich coffee and chocolate notes. Beautiful cascade and smooth velvety mouthfeel from the nitro.","8.25",true
22,88,"Parallel 49 Brewing Company","Old Boy Classic Ale","#301800","East Vancouver, British Columbia","5.0",40,"Brown Ale","#A84800","Brown, Amber and Cream Ales","#A84800","Rich malt flavours of caramel, toffee and light chocolate. This ale is an ode to the pub beers of England. Well balanced flavours of malts and hops make this beer a classic.","8.25",true
46,9,"Parallel 49 Brewing Company","Pink Power Sour","#fd6d4d","East Vancouver, British Columbia","5.1",5,"Sour Ale","#903018","Lambics and Sours","#FF0000","Vibrant and empowering Tropical Hibiscus POG(passionfruit, orange, guava).","8.75",true
